Price,Location,NumberOfRooms,square,Agency,floor
263 000,Azadlıq Prospekti m.,2 otaqlı,85 m²,,7/14 mərtəbə
360 000,28 May m.,3 otaqlı,100 m²,,5/16 mərtəbə
175 000,Həzi Aslanov m.,2 otaqlı,55 m²,Agentlik,3/15 mərtəbə
1 050 000,Bilgəh q.,5 otaqlı,240 m²,Agentlik,
600 000,Bilgəh q.,7 otaqlı,300 m²,Agentlik,
172 000,Gənclik m.,3 otaqlı,55 m²,Agentlik,3/4 mərtəbə
2 500 000,Ağ şəhər q.,218 m²,,Agentlik,
154 000,İçəri Şəhər m.,3 otaqlı,70 m²,Agentlik,1/3 mərtəbə
121 000,Əhmədli m.,1 otaqlı,45 m²,Agentlik,5/9 mərtəbə
223 000,Neftçilər m.,3 otaqlı,70 m²,,4/9 mərtəbə
205 000,28 May m.,3 otaqlı,95 m²,,3/5 mərtəbə
170 000,Xırdalan,2 otaqlı,98 m²,Agentlik,9/12 mərtəbə
239 000,Nəriman Nərimanov m.,3 otaqlı,70 m²,Agentlik,4/5 mərtəbə
2 000 000,Mərdəkan q.,6 otaqlı,525 m²,Agentlik,
335 000,8 Noyabr m.,3 otaqlı,142 m²,Agentlik,13/17 mərtəbə
115 000,28 May m.,2 otaqlı,44 m²,Agentlik,4/4 mərtəbə
270 000,Albalılıq q.,5 otaqlı,200 m²,,
149 500,Şah İsmayıl Xətai m.,1 otaqlı,35 m²,Agentlik,4/4 mərtəbə
284 000,Azadlıq Prospekti m.,3 otaqlı,108 m²,,14/16 mərtəbə
400 000,Şah İsmayıl Xətai m.,4 otaqlı,157 m²,Agentlik,6/21 mərtəbə
92 500,Sahil m.,1 otaqlı,22 m²,Agentlik,2/2 mərtəbə
255 000,Şah İsmayıl Xətai m.,2 otaqlı,60 m²,Agentlik,14/18 mərtəbə
12 000,Xudat,8 sot,,,
2 387 500,Ağ şəhər q.,191 m²,,Agentlik,
450 000,Elmlər Akademiyası m.,4 otaqlı,212 m²,Agentlik,5/12 mərtəbə
638 000,Nizami m.,3 otaqlı,165 m²,Agentlik,17/24 mərtəbə
135 000,Sea Breeze q.,1 otaqlı,33 m²,Agentlik,2/28 mərtəbə
325 000,Nəriman Nərimanov m.,4 otaqlı,130.7 m²,,1/4 mərtəbə
210 000,Nardaran q.,1 otaqlı,58 m²,Agentlik,7/7 mərtəbə
205 000,Sea Breeze q.,1 otaqlı,53 m²,,1/5 mərtəbə
248 000,Həzi Aslanov m.,3 otaqlı,110 m²,Agentlik,11/16 mərtəbə
265 000,Şah İsmayıl Xətai m.,1 otaqlı,68 m²,Agentlik,4/20 mərtəbə
231 000,Mərdəkan q.,6 sot,,Agentlik,
152 000,Zığ q.,3 otaqlı,120 m²,Agentlik,10/11 mərtəbə
165 000,Nəriman Nərimanov m.,2 otaqlı,45 m²,Agentlik,4/5 mərtəbə
850 000,8 Noyabr m.,4 otaqlı,300 m²,Agentlik,15/16 mərtəbə
287 000,Bayıl q.,4 otaqlı,120.3 m²,,9/9 mərtəbə
320 000,Şah İsmayıl Xətai m.,3 otaqlı,127.2 m²,Agentlik,3/13 mərtəbə
510 000,Nəsimi r.,3 otaqlı,130 m²,,3/5 mərtəbə
117 000,Xalqlar Dostluğu m.,1 otaqlı,35 m²,,3/5 mərtəbə
495 000,Nəriman Nərimanov m.,2 otaqlı,100 m²,,8/15 mərtəbə
185 000,Həzi Aslanov m.,3 otaqlı,75 m²,Agentlik,4/9 mərtəbə
375 000,Sea Breeze q.,2 otaqlı,100 m²,,7/7 mərtəbə
6 500 000,Nərimanov r.,1800 m²,,,
240 000,Memar Əcəmi m.,37 m²,,,
5 200 000,Nərimanov r.,650 m²,,,
465 000,Şah İsmayıl Xətai m.,4 otaqlı,171 m²,Agentlik,5/17 mərtəbə
495 000,Nəriman Nərimanov m.,2 otaqlı,100 m²,,8/15 mərtəbə
538 866,Nardaran q.,1 otaqlı,58.7 m²,Kompleks,7/13 mərtəbə
239 000,28 May m.,2 otaqlı,83 m²,Agentlik,6/15 mərtəbə
