Price,Location,NumberOfRooms,square,Agency,floor
219 000,Koroğlu m.,2 otaqlı,60 m²,Agentlik,13/17 mərtəbə
205 000,28 May m.,2 otaqlı,90 m²,Agentlik,3/5 mərtəbə
238 000,Koroğlu m.,2 otaqlı,63 m²,Agentlik,5/17 mərtəbə
238 999,Nəriman Nərimanov m.,3 otaqlı,75 m²,Agentlik,4/5 mərtəbə
185 000,İnşaatçılar m.,2 otaqlı,67 m²,,9/17 mərtəbə
210 000,Biləcəri q.,7 otaqlı,240 m²,,
195 000,Həzi Aslanov m.,3 otaqlı,88 m²,Agentlik,13/17 mərtəbə
139 500,Xırdalan,2 otaqlı,87.2 m²,,8/16 mərtəbə
129 000,Biləcəri q.,3 otaqlı,72 m²,,9/9 mərtəbə
830 000,Nəsimi m.,5.2 sot,,,
248 333,28 May m.,2 otaqlı,69.6 m²,,5/13 mərtəbə
106 000,Bayıl q.,1 otaqlı,31 m²,,4/6 mərtəbə
430 000,Nizami m.,3 otaqlı,135 m²,Agentlik,10/16 mərtəbə
300 000,İnşaatçılar m.,4 otaqlı,130 m²,Agentlik,17/19 mərtəbə
399 000,İnşaatçılar m.,4 otaqlı,170 m²,,7/18 mərtəbə
385 000,Novxanı q.,8 otaqlı,515 m²,,
436 800,8 Noyabr m.,3 otaqlı,130 m²,Kompleks,15/16 mərtəbə
274 000,Koroğlu m.,3 otaqlı,106.9 m²,Agentlik,10/17 mərtəbə
242 222,20 Yanvar m.,2 otaqlı,95.8 m²,,12/14 mərtəbə
135 000,Biləcəri q.,4 otaqlı,110 m²,,
720 000,Ağ şəhər q.,3 otaqlı,140 m²,Agentlik,3/7 mərtəbə
601 932,Sea Breeze q.,3 otaqlı,131.1 m²,Kompleks,3/5 mərtəbə
163 115,8 Noyabr m.,2 otaqlı,50.5 m²,Kompleks,9/16 mərtəbə
310 000,Qara Qarayev m.,3 otaqlı,111.5 m²,Agentlik,6/16 mərtəbə
260 000,Mərdəkan q.,4 otaqlı,170 m²,Agentlik,
263 360,8 Noyabr m.,3 otaqlı,82.3 m²,Kompleks,8/16 mərtəbə
218 000,Koroğlu m.,2 otaqlı,90 m²,Agentlik,13/13 mərtəbə
227 000,Mehdiabad q.,8 otaqlı,205 m²,,
554 655,8 Noyabr m.,4 otaqlı,179.5 m²,Kompleks,6/16 mərtəbə
404 976,8 Noyabr m.,3 otaqlı,129.8 m²,Kompleks,7/16 mərtəbə
67 000,Xırdalan,3 otaqlı,90 m²,,
289 731,8 Noyabr m.,3 otaqlı,89.7 m²,Kompleks,9/16 mərtəbə
218 000,Gənclik m.,1 otaqlı,67 m²,Agentlik,3/6 mərtəbə
175 000,Badamdar q.,3 otaqlı,70 m²,Agentlik,2/9 mərtəbə
90 000,Masazır q.,2 otaqlı,60 m²,Agentlik,1/6 mərtəbə
283 081,8 Noyabr m.,3 otaqlı,89.3 m²,Kompleks,7/16 mərtəbə
660 000,Mərdəkan q.,28 sot,,Agentlik,
160 085,8 Noyabr m.,2 otaqlı,50.5 m²,Kompleks,7/16 mərtəbə
268 298,8 Noyabr m.,3 otaqlı,82.3 m²,Kompleks,10/16 mərtəbə
164 630,8 Noyabr m.,2 otaqlı,50.5 m²,Kompleks,10/16 mərtəbə
92 000,Yeni Ramana q.,3 otaqlı,95 m²,,
331 040,Nərimanov r.,3 otaqlı,103.45 m²,Kompleks,11/14 mərtəbə
261 361,Nərimanov r.,2 otaqlı,84.31 m²,Kompleks,7/14 mərtəbə
331 040,Nərimanov r.,2 otaqlı,103.45 m²,Kompleks,10/14 mərtəbə
379 254,Nərimanov r.,3 otaqlı,122.34 m²,Kompleks,6/14 mərtəbə
282 596,Nərimanov r.,2 otaqlı,91.16 m²,Kompleks,7/14 mərtəbə
661 440,Nərimanov r.,5 otaqlı,206.65 m²,Kompleks,12/14 mərtəbə
397 760,Nərimanov r.,3 otaqlı,124.3 m²,Kompleks,12/15 mərtəbə
379 254,Nəriman Nərimanov m.,4 otaqlı,122.34 m²,Kompleks,7/14 mərtəbə
158 570,8 Noyabr m.,2 otaqlı,50.5 m²,Kompleks,6/16 mərtəbə
172 000,Gənclik m.,2 otaqlı,60 m²,Agentlik,5/5 mərtəbə
216 000,Nəriman Nərimanov m.,2 otaqlı,66 m²,Agentlik,16/16 mərtəbə
330 000,8-ci mikrorayon q.,3 otaqlı,98 m²,,18/20 mərtəbə
287 040,8 Noyabr m.,3 otaqlı,89.7 m²,Kompleks,8/16 mərtəbə
401 700,8 Noyabr m.,3 otaqlı,130 m²,Kompleks,6/16 mərtəbə
214 000,Nəriman Nərimanov m.,2 otaqlı,66 m²,Agentlik,16/16 mərtəbə
207 000,Yeni Yasamal q.,3 otaqlı,80 m²,,3/9 mərtəbə
401 082,8 Noyabr m.,3 otaqlı,129.8 m²,Kompleks,6/16 mərtəbə
220 000,Nərimanov r.,2 otaqlı,78 m²,Agentlik,14/17 mərtəbə
118 000,Hövsan q.,4 otaqlı,200 m²,,
538 500,8 Noyabr m.,4 otaqlı,179.5 m²,Kompleks,3/16 mərtəbə
250 000,Azadlıq Prospekti m.,3 otaqlı,90 m²,,6/9 mərtəbə
42 000,Albalılıq q.,2 otaqlı,55 m²,,
390 000,Şah İsmayıl Xətai m.,2 otaqlı,88 m²,Agentlik,9/16 mərtəbə
98 000,Sumqayıt,3 otaqlı,75 m²,,
475 000,8 Noyabr m.,45 m²,,Agentlik,
310 000,Nəriman Nərimanov m.,3 otaqlı,128 m²,Agentlik,16/17 mərtəbə
285 000,Şah İsmayıl Xətai m.,3 otaqlı,95 m²,Agentlik,8/16 mərtəbə
175 000,Həzi Aslanov m.,2 otaqlı,53 m²,Agentlik,13/15 mərtəbə
134 000,Nəriman Nərimanov m.,1 otaqlı,33 m²,Agentlik,2/5 mərtəbə
165 000,Xalqlar Dostluğu m.,2 otaqlı,66 m²,Agentlik,15/16 mərtəbə
234 000,Bakıxanov q.,3 otaqlı,130 m²,Agentlik,11/12 mərtəbə
1 847 231,Bayıl q.,4 otaqlı,244 m²,Kompleks,7/10 mərtəbə
105 000,20 Yanvar m.,3 otaqlı,100 m²,Agentlik,
365 000,Nizami m.,3 otaqlı,100 m²,Agentlik,9/14 mərtəbə
165 000,Xalqlar Dostluğu m.,2 otaqlı,66 m²,Agentlik,2/16 mərtəbə
350 000,8 Noyabr m.,3 otaqlı,150 m²,Agentlik,4/27 mərtəbə
225 000,Xalqlar Dostluğu m.,2 otaqlı,90 m²,Agentlik,16/17 mərtəbə
159 000,Bayıl q.,3 otaqlı,80 m²,,
350 000,Kubinka q.,3 otaqlı,136 m²,Agentlik,4/18 mərtəbə
295 000,Şah İsmayıl Xətai m.,3 otaqlı,95 m²,Agentlik,15/19 mərtəbə
285 000,28 May m.,3 otaqlı,80 m²,Agentlik,14/18 mərtəbə
400 000,Kürdəxanı q.,7 otaqlı,314.3 m²,,
252 000,Nizami m.,3 otaqlı,90 m²,Agentlik,3/6 mərtəbə
380 000,Gənclik m.,3 otaqlı,119 m²,Agentlik,16/16 mərtəbə
132 000,Elmlər Akademiyası m.,2 otaqlı,40 m²,Agentlik,2/5 mərtəbə
287 000,Şah İsmayıl Xətai m.,2 otaqlı,87 m²,Agentlik,10/17 mərtəbə
820 000,28 May m.,4 otaqlı,195 m²,,7/17 mərtəbə
295 000,Nəsimi r.,2 otaqlı,105 m²,Agentlik,5/17 mərtəbə
70 000,Ələt q.,303 sot,,,
120 500,Əhmədli m.,1 otaqlı,45 m²,Agentlik,5/9 mərtəbə
285 000,8 Noyabr m.,3 otaqlı,100 m²,Agentlik,2/18 mərtəbə
245 000,Mərdəkan q.,4 otaqlı,145 m²,Agentlik,
263 611,Nardaran q.,2 otaqlı,63.7 m²,Kompleks,11/11 mərtəbə
298 000,Yasamal q.,3 otaqlı,75 m²,,14/17 mərtəbə
520 000,Yasamal q.,3 otaqlı,150 m²,,
410 000,28 May m.,3 otaqlı,110 m²,Agentlik,12/15 mərtəbə
215 000,20 Yanvar m.,2 otaqlı,70 m²,Agentlik,3/20 mərtəbə
635 000,Sahil m.,3 otaqlı,140 m²,Agentlik,2/5 mərtəbə
208 500,M.Ə.Rəsulzadə q.,3 otaqlı,135 m²,,
495 000,Bakıxanov q.,4.6 sot,,,
273 000,Bakıxanov q.,7 sot,,,
260 000,Həzi Aslanov m.,2 otaqlı,98 m²,Agentlik,4/15 mərtəbə
1 100 000,28 May m.,4 otaqlı,190 m²,Agentlik,
256 496,Nardaran q.,2 otaqlı,65.6 m²,Kompleks,4/11 mərtəbə
234 999,Gənclik m.,2 otaqlı,65 m²,Agentlik,7/9 mərtəbə
65 800,Saray q.,2 otaqlı,60 m²,,3/9 mərtəbə
265 000,Həzi Aslanov m.,3 otaqlı,106 m²,,8/16 mərtəbə
200 000,Bayıl q.,2 otaqlı,79 m²,Agentlik,14/17 mərtəbə
410 000,Gənclik m.,4 otaqlı,155 m²,Agentlik,10/14 mərtəbə
85 000,Masazır q.,2 otaqlı,57 m²,Agentlik,5/6 mərtəbə
470 000,28 May m.,3 otaqlı,132 m²,Agentlik,10/17 mərtəbə
260 000,Nəriman Nərimanov m.,2 otaqlı,90 m²,Agentlik,11/17 mərtəbə
73 000,Masazır q.,2 otaqlı,60 m²,Agentlik,6/6 mərtəbə
26 000,Türkan q.,4.5 sot,,,
334 000,Elmlər Akademiyası m.,3 otaqlı,110 m²,Agentlik,2/9 mərtəbə
131 000,Memar Əcəmi m.,2 otaqlı,68 m²,Agentlik,1/5 mərtəbə
262 000,Əhmədli m.,3 otaqlı,150 m²,Agentlik,2/17 mərtəbə
230 000,Bakıxanov q.,3 otaqlı,80 m²,Agentlik,2/9 mərtəbə
148 000,Memar Əcəmi m.,3 otaqlı,74 m²,Agentlik,5/5 mərtəbə
330 000,Nəsimi r.,2 otaqlı,64 m²,Agentlik,8/18 mərtəbə
2 700 000,Xırdalan,54 sot,,,
310 000,Neftçilər m.,3 otaqlı,119 m²,Agentlik,2/15 mərtəbə
85 000,Masazır q.,3 otaqlı,75 m²,Agentlik,9/9 mərtəbə
130 000,Albalılıq q.,5 otaqlı,260 m²,Agentlik,
530 000,Azadlıq Prospekti m.,6 sot,,Agentlik,
180 000,20 Yanvar m.,2 otaqlı,50 m²,,19/20 mərtəbə
195 000,NZS q.,4 otaqlı,100 m²,,
220 000,Şah İsmayıl Xətai m.,2 otaqlı,76 m²,Agentlik,6/24 mərtəbə
155 000,Əhmədli m.,3 otaqlı,80 m²,Agentlik,9/9 mərtəbə
258 000,Şah İsmayıl Xətai m.,2 otaqlı,96 m²,Agentlik,4/21 mərtəbə
185 000,Qara Qarayev m.,3 otaqlı,63 m²,,4/5 mərtəbə
724 000,Nizami m.,4 otaqlı,190.5 m²,,5/15 mərtəbə
750 000,Şüvəlan q.,10 otaqlı,700 m²,Agentlik,
225 000,Abşeron r.,5 otaqlı,260 m²,Agentlik,
380 000,Şamaxı,12 otaqlı,360 m²,,
340 000,Əhmədli m.,66 m²,,,
205 000,Azadlıq Prospekti m.,3 otaqlı,80 m²,,1/9 mərtəbə
406 198,Sea Breeze q.,2 otaqlı,91.9 m²,Kompleks,2/7 mərtəbə
165 410,Nardaran q.,1 otaqlı,55.6 m²,Kompleks,4/9 mərtəbə
135 000,Avtovağzal m.,90 m²,,,
380 000,Görədil q.,7 otaqlı,450 m²,Agentlik,
262 000,Ağ şəhər q.,2 otaqlı,56 m²,Agentlik,7/7 mərtəbə
239 999,Memar Əcəmi m.,3 otaqlı,80 m²,,15/18 mərtəbə
189 000,Həzi Aslanov m.,2 otaqlı,82 m²,Agentlik,11/13 mərtəbə
288 000,Həzi Aslanov m.,3 otaqlı,98 m²,Agentlik,12/20 mərtəbə
147 000,Həzi Aslanov m.,2 otaqlı,60 m²,Agentlik,9/9 mərtəbə
229 000,Həzi Aslanov m.,3 otaqlı,85 m²,Agentlik,6/9 mərtəbə
210 000,Mehdiabad q.,4 otaqlı,120 m²,,
5 450 000,Gənclik m.,5 otaqlı,295 m²,Agentlik,13/21 mərtəbə
210 000,Bakıxanov q.,3 otaqlı,123 m²,Agentlik,6/9 mərtəbə
52 000,Binə q.,2 otaqlı,50 m²,,
395 220,Nəsimi r.,2 otaqlı,94.1 m²,Kompleks,16/16 mərtəbə
1 071 000,Nəsimi r.,5 otaqlı,255 m²,Kompleks,15/16 mərtəbə
556 200,Nəsimi r.,4 otaqlı,154.5 m²,Kompleks,2/16 mərtəbə
550 000,Nəsimi r.,4 otaqlı,178 m²,Agentlik,9/16 mərtəbə
155 000,Zığ q.,3 otaqlı,120 m²,Agentlik,
235 000,İçəri Şəhər m.,2 otaqlı,63 m²,Agentlik,2/4 mərtəbə
160 000,Yeni Günəşli q.,3 otaqlı,90 m²,Agentlik,8/9 mərtəbə
525 000,Nəsimi r.,3 otaqlı,125.1 m²,Kompleks,16/16 mərtəbə
412 020,Nəsimi r.,2 otaqlı,98.1 m²,Kompleks,15/16 mərtəbə
969 000,Nəsimi r.,5 otaqlı,255 m²,Kompleks,4/16 mərtəbə
395 220,Nəsimi r.,2 otaqlı,94.1 m²,Kompleks,16/16 mərtəbə
826 980,Nəsimi r.,4 otaqlı,196.9 m²,Kompleks,16/16 mərtəbə
1 020 000,Nəsimi r.,5 otaqlı,255 m²,Kompleks,11/16 mərtəbə
625 680,Nəsimi r.,3 otaqlı,173.8 m²,Kompleks,2/16 mərtəbə
373 800,Nəsimi r.,2 otaqlı,89 m²,Kompleks,2/16 mərtəbə
516 600,Nəsimi r.,3 otaqlı,123 m²,Kompleks,15/16 mərtəbə
1 092 000,Nəsimi r.,5 otaqlı,260 m²,Kompleks,17/17 mərtəbə
379 260,Nəsimi r.,2 otaqlı,90.6 m²,Kompleks,2/16 mərtəbə
798 000,Nəsimi r.,4 otaqlı,190 m²,Kompleks,17/17 mərtəbə
140 000,Nəsimi r.,2 otaqlı,45 m²,Agentlik,2/5 mərtəbə
240 000,Xırdalan,7 otaqlı,260 m²,,
405 000,28 May m.,3 otaqlı,121.3 m²,,7/16 mərtəbə
142 000,Xətai r.,2 otaqlı,65 m²,Agentlik,3/9 mərtəbə
230 000,Memar Əcəmi m.,2 otaqlı,90 m²,,15/19 mərtəbə
770 000,Mərdəkan q.,22 sot,,Agentlik,
440 000,Elmlər Akademiyası m.,4 otaqlı,160 m²,Agentlik,2/10 mərtəbə
820 000,Nizami m.,110 m²,,,
145 000,Biləcəri q.,3 otaqlı,100 m²,,
189 000,Həzi Aslanov m.,2 otaqlı,64 m²,Agentlik,8/16 mərtəbə
225 000,20 Yanvar m.,2 otaqlı,95 m²,Agentlik,14/18 mərtəbə
150 000,Hövsan q.,4 otaqlı,80 m²,Agentlik,6/7 mərtəbə
338 000,28 May m.,3 otaqlı,135 m²,,11/17 mərtəbə
123 000,Binə q.,4 otaqlı,200 m²,,
268 000,20 Yanvar m.,2 otaqlı,75 m²,,8/20 mərtəbə
140 000,Avtovağzal m.,3 otaqlı,50 m²,,4/5 mərtəbə
82 500,Şüvəlan q.,3 sot,,,
210 000,Maştağa q.,293.8 m²,,,
48 000,Şüvəlan q.,2 sot,,,
125 000,Bayıl q.,5 otaqlı,120 m²,Agentlik,
105 000,Məmmədli q.,4 otaqlı,114 m²,Agentlik,
189 000,Həzi Aslanov m.,2 otaqlı,88 m²,Agentlik,10/17 mərtəbə
170 000,Həzi Aslanov m.,2 otaqlı,56 m²,,4/5 mərtəbə
230 000,Nərimanov r.,2 otaqlı,56 m²,Agentlik,7/18 mərtəbə
96 000,Mərdəkan q.,4 sot,,,
63 900,Buzovna q.,4 otaqlı,76.2 m²,,
250 000,Pirşağı q.,5 otaqlı,140 m²,,
335 000,Elmlər Akademiyası m.,2 otaqlı,68 m²,,16/17 mərtəbə
467 432,Sea Breeze q.,3 otaqlı,98.2 m²,Kompleks,1/6 mərtəbə
95 000,Xırdalan,3 otaqlı,62 m²,,15/16 mərtəbə
179 000,20 Yanvar m.,2 otaqlı,49 m²,,5/16 mərtəbə
107 000,İnşaatçılar m.,1 otaqlı,40 m²,Agentlik,5/5 mərtəbə
373 405,Sea Breeze q.,2 otaqlı,95.5 m²,Kompleks,3/6 mərtəbə
550 000,Gənclik m.,3 otaqlı,146 m²,Agentlik,2/12 mərtəbə
136 000,Həzi Aslanov m.,2 otaqlı,65 m²,Agentlik,1/9 mərtəbə
259 000,Neftçilər m.,3 otaqlı,87 m²,Agentlik,10/17 mərtəbə
190 000,Əhmədli m.,3 otaqlı,85 m²,Agentlik,6/9 mərtəbə
285 000,Həzi Aslanov m.,35 m²,,Agentlik,
117 000,Masazır q.,4 otaqlı,180 m²,,
335 000,Sea Breeze q.,2 otaqlı,76 m²,,3/7 mərtəbə
185 000,Zabrat q.,7 otaqlı,220 m²,,
142 000,Xalqlar Dostluğu m.,2 otaqlı,60 m²,,5/5 mərtəbə
700 000,Mərdəkan q.,5 otaqlı,300 m²,Agentlik,
115 000,Kürdəxanı q.,4 otaqlı,145 m²,,
236 000,Neftçilər m.,3 otaqlı,84 m²,Agentlik,10/17 mərtəbə
160 000,9-cu mikrorayon q.,2 otaqlı,65 m²,Agentlik,3/9 mərtəbə
22 500,Nardaran q.,3 sot,,,
255 000,Nəriman Nərimanov m.,2 otaqlı,65.4 m²,,4/18 mərtəbə
110 000,Binə q.,4 otaqlı,110 m²,,
135 000,Memar Əcəmi m.,3 otaqlı,78 m²,Agentlik,1/5 mərtəbə
45 000,Nardaran q.,6 sot,,,
75 000,Quba,76 sot,,,
140 000,Zığ q.,7 otaqlı,100 m²,Agentlik,
495 000,Mərdəkan q.,5 otaqlı,220 m²,Agentlik,
198 000,Gənclik m.,3 otaqlı,70 m²,Agentlik,2/4 mərtəbə
264 950,Memar Əcəmi m.,80 m²,,Agentlik,
450 000,Nəriman Nərimanov m.,4 otaqlı,168 m²,Agentlik,13/17 mərtəbə
189 000,Memar Əcəmi m.,2 otaqlı,62 m²,,6/18 mərtəbə
195 000,Bayıl q.,2 otaqlı,53 m²,Agentlik,13/16 mərtəbə
355 000,Mərdəkan q.,4 otaqlı,220 m²,Agentlik,
172 000,Sumqayıt,3 otaqlı,90 m²,Agentlik,10/13 mərtəbə
238 000,Binəqədi r.,3 otaqlı,95 m²,Agentlik,5/9 mərtəbə
680 000,Yeni Yasamal q.,1000 m²,,,
210 000,Həzi Aslanov m.,3 otaqlı,80 m²,,7/9 mərtəbə
115 000,Neftçilər m.,1 otaqlı,37 m²,Agentlik,5/5 mərtəbə
168 000,İnşaatçılar m.,3 otaqlı,75 m²,Agentlik,5/5 mərtəbə
210 000,Yasamal r.,3 otaqlı,94 m²,Agentlik,2/12 mərtəbə
695 000,Buzovna q.,6 otaqlı,220 m²,,
335 000,Elmlər Akademiyası m.,2 otaqlı,68 m²,,16/17 mərtəbə
160 000,Nizami r.,3 otaqlı,55 m²,,3/5 mərtəbə
83 500,Xırdalan,2 otaqlı,50 m²,,2/11 mərtəbə
900 000,Elmlər Akademiyası m.,4 otaqlı,185 m²,,3/16 mərtəbə
188 000,Azadlıq Prospekti m.,2 otaqlı,90 m²,Agentlik,6/12 mərtəbə
155 000,Həzi Aslanov q.,3 otaqlı,58 m²,,2/16 mərtəbə
650 000,Elmlər Akademiyası m.,3 otaqlı,120 m²,,15/16 mərtəbə
475 000,Nəsimi r.,4 otaqlı,180 m²,,11/16 mərtəbə
302 400,Nəsimi r.,2 otaqlı,72 m²,Kompleks,9/16 mərtəbə
106 000,Masazır q.,2 otaqlı,60 m²,Agentlik,7/8 mərtəbə
895 000,Elmlər Akademiyası m.,4 otaqlı,166 m²,,11/16 mərtəbə
515 000,Ağ şəhər q.,2 otaqlı,93 m²,,8/8 mərtəbə
158 000,Türkan q.,4 otaqlı,200 m²,,
275 000,Dərnəgül m.,3 otaqlı,80 m²,Agentlik,11/17 mərtəbə
422 240,Yeni Yasamal q.,4 otaqlı,203 m²,Kompleks,9/11 mərtəbə
164 000,Lökbatan q.,4 otaqlı,86 m²,,2/5 mərtəbə
288 000,Dərnəgül m.,2 otaqlı,80 m²,Agentlik,11/14 mərtəbə
185 000,Sahil m.,3 otaqlı,77 m²,Agentlik,1/2 mərtəbə
258 999,Memar Əcəmi m.,3 otaqlı,100 m²,Agentlik,14/19 mərtəbə
153 000,Yeni Yasamal q.,2 otaqlı,70 m²,,3/14 mərtəbə
140 000,Bülbülə q.,3 otaqlı,72 m²,,
210 000,Həzi Aslanov m.,3 otaqlı,85 m²,Agentlik,7/9 mərtəbə
185 000,Yasamal r.,2 otaqlı,60 m²,Agentlik,5/12 mərtəbə
291 746,Sea Breeze q.,2 otaqlı,67.3 m²,Kompleks,4/9 mərtəbə
294 999,Gənclik m.,3 otaqlı,75 m²,Agentlik,2/6 mərtəbə
2 200 000,İnşaatçılar m.,8 otaqlı,534 m²,,
195 000,Elmlər Akademiyası m.,2 otaqlı,55 m²,Agentlik,6/9 mərtəbə
414 120,Sea Breeze q.,2 otaqlı,101.5 m²,Kompleks,4/7 mərtəbə
420 000,Nərimanov r.,3 otaqlı,115 m²,Agentlik,14/18 mərtəbə
245 000,Binəqədi r.,2 otaqlı,70 m²,Agentlik,19/19 mərtəbə
545 000,Nəsimi r.,3 otaqlı,158 m²,,13/18 mərtəbə
309 999,Nəsimi m.,3 otaqlı,129 m²,Agentlik,5/16 mərtəbə
117 000,Masazır q.,4 otaqlı,120 m²,,
160 000,Həzi Aslanov m.,2 otaqlı,60 m²,Agentlik,6/9 mərtəbə
4 250 000,Əmircan q.,372 sot,,,
385 000,Nəsimi r.,3 otaqlı,100 m²,Agentlik,14/19 mərtəbə
199 000,Həzi Aslanov m.,2 otaqlı,64 m²,Agentlik,17/19 mərtəbə
345 000,Gənclik m.,3 otaqlı,158 m²,Agentlik,13/14 mərtəbə
934 000,Ağ şəhər q.,4 otaqlı,225 m²,Agentlik,7/8 mərtəbə
650 000,Şah İsmayıl Xətai m.,4 otaqlı,168 m²,Agentlik,9/16 mərtəbə
385 900,Yeni Yasamal q.,3 otaqlı,170 m²,Kompleks,4/11 mərtəbə
240 000,Şah İsmayıl Xətai m.,2 otaqlı,53 m²,,10/13 mərtəbə
275 000,Azadlıq Prospekti m.,2 otaqlı,90 m²,Agentlik,14/19 mərtəbə
338 000,Nəsimi r.,2 otaqlı,98 m²,Agentlik,11/18 mərtəbə
620 000,Mərdəkan q.,5 otaqlı,450 m²,Agentlik,
455 000,Mərdəkan q.,6 otaqlı,260 m²,Agentlik,
1 450 000,Mərdəkan q.,7 otaqlı,500 m²,Agentlik,
430 000,Mərdəkan q.,250 m²,,Agentlik,
258 000,Mərdəkan q.,4 otaqlı,150 m²,Agentlik,
475 000,Mərdəkan q.,5 otaqlı,260 m²,Agentlik,
470 000,Mərdəkan q.,5 otaqlı,300 m²,Agentlik,
750 000,Mərdəkan q.,5 otaqlı,400 m²,Agentlik,
245 000,Mərdəkan q.,4 otaqlı,170 m²,Agentlik,
285 000,Mərdəkan q.,4 otaqlı,150 m²,Agentlik,
845 000,Şüvəlan q.,5 otaqlı,400 m²,Agentlik,
